Date,Issue Name,Code,Market Segment,Reason
"Dec. 28, 2015","Sogo Rinsho Holdings Co.,Ltd.",2399,1st Section,"Becoming a wholly owned subsidiary of EPS Holdings,Inc."
"Dec. 28, 2015","MATSUYA CO.,LTD.",7452,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Dec. 25, 2015","JAPAN VILENE COMPANY,LTD.",3514,1st Section,Reverse stock split
"Dec. 14, 2015",POSCO,5412,1st Section Foreign Stocks,Delisted based on application.
"Dec. 04, 2015",Bit-isle Inc.,3811,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Dec. 01, 2015",LCA Holdings Corporation,4798,2nd Section,"Securities on alert, etc."
"Nov. 30, 2015","R-TECH UENO, LTD.",4573,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 16, 2015","Ono Sangyo Co.,Ltd.",7858,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Oct. 30, 2015",DAIICHI CHUO KISEN KAISHA,9132,1st Section,Due to civil rehabilitation proceedings
"Oct. 01, 2015","Lady Drug Store Co.,Ltd.",3027,JASDAQ Standard,Reverse stock split
"Sep. 28, 2015","iFLAG Co.,Ltd.",2759,JASDAQ Standard,"Becoming a wholly owned subsidiary of HIKARI TSUSHIN,INC."
"Sep. 28, 2015","CO-OP CHEMICAL CO.,LTD.",4003,1st Section,Merging with Katakura & Co-op Agri Corporation
"Sep. 28, 2015","COSMO OIL COMPANY,LIMITED",5007,1st Section,"Becoming a wholly owned subsidiary of COSMO ENERGY HOLDINGS COMPANY,LIMITED"
"Sep. 28, 2015","OHKI CO.,LTD.",8120,JASDAQ Standard,"Becoming a wholly owned subsidiary of OHKI HEALTHCARE HOLDINGS CO.,LTD."
"Sep. 28, 2015","THE KAGOSHIMA BANK,LTD.",8390,1st Section,"Becoming a wholly owned subsidiary of Kyushu Financial Group,Inc."
"Sep. 28, 2015","The Higo Bank,Ltd.",8394,1st Section,"Becoming a wholly owned subsidiary of Kyushu Financial Group,Inc."
"Sep. 28, 2015","MEITO TRANSPORTATION CO.,LTD.",9047,1st Section,"Becoming a wholly owned subsidiary of Chilled & Frozen Logistics Holdings Co.,Ltd."
"Sep. 28, 2015","Hutech norin Co.,Ltd.",9056,2nd Section,"Becoming a wholly owned subsidiary of Chilled & Frozen Logistics Holdings Co.,Ltd."
"Sep. 12, 2015",Global Asia Holdings Inc.,3587,JASDAQ Standard,"Breach of listing agreement, etc."
"Sep. 11, 2015",Eikoh Holdings Inc.,6053,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Sep. 04, 2015","Japan Wind Development Co., Ltd.",2766,2nd Section,Reverse stock split
"Aug. 31, 2015","MEGALOS CO.,LTD.",2165,JASDAQ Standard,"Becoming a wholly owned subsidiary of Nomura Real Estate Holdings,Inc."
"Aug. 27, 2015","SUZUKI METAL INDUSTRY CO.,LTD.",5657,2nd Section,Becoming a wholly owned subsidiary of NIPPON STEEL & SUMITOMO METAL CORPORATION
"Aug. 27, 2015",CFS Corporation,8229,1st Section,"Becoming a wholly owned subsidiary of WELCIA HOLDINGS CO.,LTD."
"Aug. 27, 2015","PIPED BITS Co.,Ltd.",3831,1st Section,"Becoming a wholly owned subsidiary of PiPEDO HD,Inc."
"Aug. 10, 2015",MET'S CORPORATION,4744,Mothers,Due to inappropriate merger，etc.
"Aug. 01, 2015",Ishiyama Gateway Holdings Inc.,7708,JASDAQ Growth,In the public interest and for investors' protection
"Jul. 31, 2015",P&P Holdings Corporation,6068,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Jul. 29, 2015","NIPPON STEEL & SUMIKIN TEXENG.CO.,LTD.",1819,1st Section,Becoming a wholly owned subsidiary of NIPPON STEEL & SUMITOMO METAL CORPORATION
