Date,Issue Name,Code,Market Segment,Reason
"Dec. 29, 2021","NIPPON EXPRESS CO.,LTD.",9062,1st Section,"Becoming a wholly owned subsidiary of NIPPON EXPRESS HOLDINGS,INC."
"Dec. 29, 2021",FUJIKYU CORPORATION,9966,1st Section,"Becoming a wholly owned subsidiary of FUJIKYU HOLDINGS CO.,LTD."
"Dec. 10, 2021","SAKAI OVEX CO.,LTD.",3408,1st Section,Reverse stock split
"Dec. 03, 2021",AIKO CORPORATION,9909,JASDAQ Standard,Reverse stock split
"Nov. 02, 2021",GCA Corporation,2174,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 28, 2021","SECOM JOSHINETSU CO.,LTD.",4342,2nd Section,"Becoming a wholly owned subsidiary of SECOM CO.,LTD."
"Oct. 28, 2021","Kobelco Eco-Solutions Co.,Ltd.",6299,2nd Section,"Becoming a wholly owned subsidiary of Kobe Steel,Ltd"
"Sep. 29, 2021",cocokara fine Inc.,3098,1st Section,Becoming a wholly owned subsidiary of MatsukiyoCocokara & Co.
"Sep. 29, 2021",MAEDA CORPORATION,1824,1st Section,Becoming a wholly owned subsidiary of INFRONEER Holdings Inc.
"Sep. 29, 2021","MAEDA ROAD CONSTRUCTION CO.,LTD.",1883,1st Section,Becoming a wholly owned subsidiary of INFRONEER Holdings Inc.
"Sep. 29, 2021",TAKEEI CORPORATION,2151,1st Section,Becoming a wholly owned subsidiary of TRE HOLDINGS CORPORATION
"Sep. 29, 2021",MANAC INCORPORATED,4364,2nd Section,"Becoming a wholly owned subsidiary of MANAC Chemical Partners Co.,Ltd"
"Sep. 29, 2021","Kufu Company Inc. (The company name will be changed to Kufu Intermediate Holding Company Inc. on Sep. 30, 2021)",4399,Mothers,Becoming a wholly owned subsidiary of Kufu Company Inc.
"Sep. 29, 2021",Locoguide Inc.,4497,Mothers,Becoming a wholly owned subsidiary of Kufu Company Inc.
"Sep. 29, 2021",REVER HOLDINGS CORPORATION,5690,2nd Section,Becoming a wholly owned subsidiary of TRE HOLDINGS CORPORATION
"Sep. 29, 2021","MAEDASEISAKUSHO CO.,LTD.",6281,JASDAQ Standard,Becoming a wholly owned subsidiary of INFRONEER Holdings Inc.
"Sep. 29, 2021",Maruka Corporation,7594,1st Section,Becoming a wholly owned subsidiary of MARUKA FURUSATO Corporation
"Sep. 29, 2021",Miahelsa Corporation,7688,JASDAQ Standard,Becoming a wholly owned subsidiary of Miahelsa Holdings Corporation
"Sep. 29, 2021","FURUSATO INDUSTRIES,LTD.",8087,1st Section,Becoming a wholly owned subsidiary of MARUKA FURUSATO Corporation
"Sep. 29, 2021","YAMAEHISANO Co.,Ltd.",8108,1st Section,"Becoming a wholly owned subsidiary of YAMAE GROUP HOLDINGS CO.,LTD."
"Sep. 29, 2021","The Juroku Bank,Ltd.",8356,1st Section,"Becoming a wholly owned subsidiary of Juroku Financial Group,Inc."
"Sep. 29, 2021","The Hokkoku Bank,Ltd.",8363,1st Section,"Becoming a wholly owned subsidiary of Hokkoku Financial Holdings,Inc."
"Sep. 29, 2021","The Bank of Okinawa,Ltd.",8397,1st Section,"Becoming a wholly owned subsidiary of Okinawa Financial Group,Inc."
"Sep. 29, 2021","Ikka Dining Project.,Ltd.",9266,1st Section,"Becoming a wholly owned subsidiary of Ikka Holdings Co.,Ltd."
"Sep. 29, 2021","CHODAI CO.,LTD.",9624,1st Section,"Becoming a wholly owned subsidiary of People, Dreams & Technologies Group Co.,Ltd."
"Sep. 28, 2021",AOI TYO Holdings Inc.,3975,1st Section,Reverse stock split
"Sep. 27, 2021",Japan Asia Group Limited,3751,1st Section,Reverse stock split
"Sep. 17, 2021","EPS Holdings,Inc.",4282,1st Section,Reverse stock split
"Sep. 14, 2021",OLIVER CORPORATION,7959,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Sep. 14, 2021","Honshu Chemical Industry Co.,Ltd.",4115,2nd Section,Reverse stock split
"Aug. 31, 2021",PALTEK CORPORATION,7587,2nd Section,Reverse stock split
"Aug. 30, 2021",FUJI CORPORATION,3515,JASDAQ Standard,"Becoming a wholly owned subsidiary of THE JAPAN WOOL TEXTILE CO.,LTD."
"Aug. 30, 2021","OTSUKA KAGU,LTD.",8186,JASDAQ Standard,"Becoming a wholly owned subsidiary of YAMADA HOLDINGS CO.,LTD."
"Aug. 26, 2021","FUNAI ELECTRIC CO.,LTD.",6839,1st Section,Reverse stock split
"Aug. 01, 2021",ONKYO HOME ENTERTAINMENT CORPORATION,6628,JASDAQ Standard,Having liabilities in excess of assets
"Jul. 29, 2021","KAWASAKI THERMAL ENGINEERING CO.,LTD.",6414,JASDAQ Standard,"Becoming a wholly owned subsidiary of Kawasaki Heavy Industries,Ltd."
"Jul. 29, 2021","MEISEI ELECTRIC CO.,LTD.",6709,2nd Section,Becoming a wholly owned subsidiary of IHI Corporation
"Jul. 29, 2021",FAMILY INC.,8298,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
