Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
49340,"Premier Anti-Aging Co.,Ltd.",Growth,Chemicals,July,July,,,Stock prices,2009/12/01
49350,"LIBERTA CO.,LTD.",Standard,Chemicals,December,December,,,Stock prices,1997/02/12
49360,AXXZIA Inc.,Prime,Chemicals,July,July,,,Stock prices,2011/12/21
49370,Waqoo Inc.,Growth,Chemicals,September,September,,,Stock prices,2005/12/02
49510,S.T.CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1948/08/31
49550,"AGRO-KANESHO CO.,LTD.",Standard,Chemicals,December,December,,,Stock prices,1959/04/28
49560,"KONISHI CO.,LTD.",Prime,Chemicals,March,March,,,Stock prices,1925/09/25
49570,"YASUHARA CHEMICAL CO.,LTD.",Standard,Chemicals,March,March,,,Stock prices,1959/02/24
49580,"T.HASEGAWA CO.,LTD.",Prime,Chemicals,September,September,,,Stock prices,1961/12/15
49600,"CHEMIPRO KASEI KAISHA,LTD.",Standard,Chemicals,March,March,,,Stock prices,1949/10/06
49660,"C.Uyemura & Co.,Ltd.",Standard,Chemicals,March,March,,,Stock prices,1933/12/03
49670,"KOBAYASHI PHARMACEUTICAL CO.,LTD.",Prime,Chemicals,December,December,,,Stock prices,1919/08/22
49680,"ARAKAWA CHEMICAL INDUSTRIES,LTD.",Prime,Chemicals,March,March,,,Stock prices,1936/05/31
49700,"Toyo Gosei Co.,Ltd.",Standard,Chemicals,March,March,,,Stock prices,1954/09/27
49710,MEC COMPANY LTD.,Prime,Chemicals,December,December,,,Stock prices,1969/05/01
49720,"Soken Chemical & Engineering Co.,Ltd.",Standard,Chemicals,March,March,,,Stock prices,1948/09/02
49730,"JAPAN PURE CHEMICAL CO.,LTD.",Prime,Chemicals,March,March,,,Stock prices,1991/06/13
49740,TAKARA BIO INC.,Prime,Chemicals,March,March,,,Stock prices,2002/04/01
49750,JCU CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1968/04/01
49760,"TOYO DRILUBE CO.,LTD.",Standard,Chemicals,June,June,,,Stock prices,1962/07/31
49770,Nitta Gelatin Inc.,Standard,Chemicals,March,March,,,Stock prices,1945/02/10
49780,ReproCELL Incorporated,Growth,Chemicals,March,March,,,Stock prices,2003/02/26
49790,"OAT Agrio Co.,Ltd.",Standard,Chemicals,December,December,,,Stock prices,2010/09/28
49800,Dexerials Corporation,Prime,Chemicals,March,March,,,Stock prices,2012/06/20
49850,Earth Corporation,Prime,Chemicals,December,December,,,Stock prices,1925/08/26
49900,"Showa Chemical Industry Co.,Ltd.",Standard,Chemicals,March,March,,,Stock prices,1933/11/16
49920,"HOKKO CHEMICAL INDUSTRY CO.,LTD.",Standard,Chemicals,November,November,,,Stock prices,1950/02/27
