Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
40400,"NANKAI CHEMICAL COMPANY,LIMITED",Standard,Chemicals,March,March,,,Stock prices,1951/06/26
40410,"Nippon Soda Co.,Ltd.",Prime,Chemicals,March,March,,,Stock prices,1920/02/01
40420,TOSOH CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1935/02/11
40430,Tokuyama Corporation,Prime,Chemicals,March,March,,,Stock prices,1918/02/16
40440,"Central Glass Co.,Ltd.",Prime,Chemicals,March,March,,,Stock prices,1936/10/10
40450,"TOAGOSEI CO.,LTD.",Prime,Chemicals,December,December,,,Stock prices,1942/03/31
40460,"OSAKA SODA CO.,LTD.",Prime,Chemicals,March,March,,,Stock prices,1915/10/26
40470,"KANTO DENKA KOGYO CO.,LTD.",Prime,Chemicals,March,March,,,Stock prices,1938/09/22
40510,"GMO Financial Gate,Inc.",Growth,Information & Communication,September,September,,,Stock prices,1999/09/07
40520,Ficha Inc.,Growth,Information & Communication,June,June,,,Stock prices,2005/08/05
40530,Sun* Inc.,Prime,Information & Communication,December,December,,,Stock prices,2013/03/01
40540,"Japan PropTech Co.,Ltd.",Growth,Information & Communication,June,June,,,Stock prices,1994/08/01
40550,T&S Group Inc.,Growth,Information & Communication,September,September,,,Stock prices,2016/11/01
40560,Neural Group Inc.,Growth,Information & Communication,December,December,,,Stock prices,2018/01/22
40570,"Interfactory,Inc.",Growth,Information & Communication,May,May,,,Stock prices,2003/06/27
40580,"Toyokumo,Inc.",Growth,Information & Communication,December,December,,,Stock prices,2010/08/02
40590,"Magmag,Inc.",Standard,Information & Communication,September,September,,,Stock prices,1999/01/07
40600,rakumo Inc.,Growth,Information & Communication,December,December,,,Stock prices,2004/12/17
40610,Denka Company Limited,Prime,Chemicals,March,March,,,Stock prices,1915/05/01
40620,"IBIDEN CO.,LTD.",Prime,Electric Appliances,March,March,,,Stock prices,1912/11/25
